"","flipper_length_mm","body_mass_g","species","sex"
"1",181,3750,"Adelie","MALE"
"2",186,3800,"Adelie","FEMALE"
"3",195,3250,"Adelie","FEMALE"
"4",193,3450,"Adelie","FEMALE"
"5",190,3650,"Adelie","MALE"
"6",181,3625,"Adelie","FEMALE"
"7",195,4675,"Adelie","MALE"
"8",182,3200,"Adelie","FEMALE"
"9",191,3800,"Adelie","MALE"
"10",198,4400,"Adelie","MALE"
"11",185,3700,"Adelie","FEMALE"
"12",195,3450,"Adelie","FEMALE"
"13",197,4500,"Adelie","MALE"
"14",184,3325,"Adelie","FEMALE"
"15",194,4200,"Adelie","MALE"
"16",174,3400,"Adelie","FEMALE"
"17",180,3600,"Adelie","MALE"
"18",189,3800,"Adelie","FEMALE"
"19",185,3950,"Adelie","MALE"
"20",180,3800,"Adelie","MALE"
"21",187,3800,"Adelie","FEMALE"
"22",183,3550,"Adelie","MALE"
"23",187,3200,"Adelie","FEMALE"
"24",172,3150,"Adelie","FEMALE"
"25",180,3950,"Adelie","MALE"
"26",178,3250,"Adelie","FEMALE"
"27",178,3900,"Adelie","MALE"
"28",188,3300,"Adelie","FEMALE"
"29",184,3900,"Adelie","MALE"
"30",195,3325,"Adelie","FEMALE"
"31",196,4150,"Adelie","MALE"
"32",190,3950,"Adelie","MALE"
"33",180,3550,"Adelie","FEMALE"
"34",181,3300,"Adelie","FEMALE"
"35",184,4650,"Adelie","MALE"
"36",182,3150,"Adelie","FEMALE"
"37",195,3900,"Adelie","MALE"
"38",186,3100,"Adelie","FEMALE"
"39",196,4400,"Adelie","MALE"
"40",185,3000,"Adelie","FEMALE"
"41",190,4600,"Adelie","MALE"
"42",182,3425,"Adelie","MALE"
"43",190,3450,"Adelie","FEMALE"
"44",191,4150,"Adelie","MALE"
"45",186,3500,"Adelie","FEMALE"
"46",188,4300,"Adelie","MALE"
"47",190,3450,"Adelie","FEMALE"
"48",200,4050,"Adelie","MALE"
"49",187,2900,"Adelie","FEMALE"
"50",191,3700,"Adelie","MALE"
"51",186,3550,"Adelie","FEMALE"
"52",193,3800,"Adelie","MALE"
"53",181,2850,"Adelie","FEMALE"
"54",194,3750,"Adelie","MALE"
"55",185,3150,"Adelie","FEMALE"
"56",195,4400,"Adelie","MALE"
"57",185,3600,"Adelie","FEMALE"
"58",192,4050,"Adelie","MALE"
"59",184,2850,"Adelie","FEMALE"
"60",192,3950,"Adelie","MALE"
"61",195,3350,"Adelie","FEMALE"
"62",188,4100,"Adelie","MALE"
"63",190,3050,"Adelie","FEMALE"
"64",198,4450,"Adelie","MALE"
"65",190,3600,"Adelie","FEMALE"
"66",190,3900,"Adelie","MALE"
"67",196,3550,"Adelie","FEMALE"
"68",197,4150,"Adelie","MALE"
"69",190,3700,"Adelie","FEMALE"
"70",195,4250,"Adelie","MALE"
"71",191,3700,"Adelie","FEMALE"
"72",184,3900,"Adelie","MALE"
